,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
1120,1.0,9.9,1.58,0.0,0.0,11.48,11.48
1121,1.0,58.06,9.29,0.0,0.0,67.35,67.35
1122,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1123,1.0,6285.91,1005.75,0.0,0.0,6914.51,6914.51
1124,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1125,1.0,250.01,39.99,0.0,0.0,290.0,290.0
1126,1.0,47.66,7.63,0.0,0.0,55.29,55.29
1127,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1128,1.0,823.01,127.1,0.0,0.0,950.11,950.11
1129,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1130,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1131,1.0,105.0,0.0,0.0,0.0,105.0,105.0
1132,1.0,4240.0,678.4,0.0,0.0,4918.4,4918.4
1133,1.0,2025.85,324.14,0.0,0.0,2349.99,2349.99
1134,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1135,1.0,1438.79,230.21,0.0,0.0,1669.0,1669.0
1136,1.0,4038.7999999999997,646.2,0.0,0.0,4685.0,4685.0
1137,1.0,240.52,38.48,0.0,0.0,279.0,279.0
1138,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1139,1.0,4310.34,689.66,0.0,0.0,5000.0,5000.0
1140,1.0,4130.0,660.8,0.0,0.0,4790.8,4790.8
1141,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1142,1.0,946.78,151.49,0.0,0.0,1098.27,1098.27
1143,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1144,1.0,200.0,32.0,0.0,0.0,232.0,232.0
1145,1.0,2949.75,15.96,0.0,0.0,2965.71,2965.71
1146,1.0,18.97,3.03,0.0,0.0,22.0,22.0
1147,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1148,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1149,1.0,4100.0,0.0,0.0,0.0,4100.0,4100.0
1150,1.0,490.0,78.4,0.0,0.0,568.4,568.4
1151,1.0,285.0,45.6,0.0,0.0,330.6,330.6
1152,1.0,243.72,26.08,0.0,0.0,269.8,269.8
1153,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1154,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1155,1.0,5344.76,855.16,0.0,0.0,6199.92,6199.92
1156,1.0,5152.17,824.35,0.0,0.0,5976.52,5976.52
1157,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1158,1.0,34.22,5.48,0.0,0.0,39.7,39.7
1159,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1160,1.0,0.0,222.2,0.0,0.0,1239.1,1333.0
1161,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1162,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1163,1.0,0.01,519.8248013864899,0.0,0.0,0.01,0.0
1164,1.0,674.62,124.37,0.0,0.0,798.99,798.99
1165,1.0,752.43,146.57,0.0,0.0,899.0,899.0
1166,1.0,674.62,124.37,0.0,0.0,798.99,798.99
1167,1.0,674.62,124.37,0.0,0.0,798.99,798.99
1168,1.0,4310.35,689.66,0.0,0.0,5000.01,5000.01
1169,1.0,2042.97,326.88,0.0,0.0,2247.27,2247.27
1170,1.0,2585.0,413.6,0.0,0.0,2998.6,2998.6
1171,1.0,3990.02,638.4,0.0,0.0,4389.02,4389.02
1172,1.0,3300.0,48.0,0.0,0.0,3348.0,3348.0
1173,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1174,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1175,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1176,1.0,135.34,21.66,0.0,0.0,157.0,157.0
1177,1.0,0.01,519.8248013864899,0.0,0.0,0.01,0.0
1178,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1179,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1180,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1181,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1182,1.0,168.96,27.03,0.0,0.0,195.99,195.99
1183,1.0,2371.0,379.36,0.0,0.0,2750.36,2750.36
1184,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1185,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1186,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1187,1.0,1139.12,182.26,0.0,0.0,1321.3799999999999,1321.38
1188,1.0,69.1,11.06,0.0,0.0,80.16,80.16
1189,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1190,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1191,1.0,1000.0,160.0,0.0,0.0,1160.0,1160.0
1192,1.0,98.08,15.69,0.0,0.0,113.77,113.77
1193,1.0,16.08,2.57,0.0,0.0,18.65,18.65
1194,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1195,1.0,0.0,0.0,0.0,0.0,0.0,1432.3
1196,1.0,198.0,38.57,0.0,0.0,236.57,236.57
1197,1.0,3601.0,489.74,0.0,0.0,4090.74,3550.59
1198,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1199,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1200,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1201,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1202,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1203,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1204,1.0,341.1,54.58,0.0,0.0,395.68,395.68
1205,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1206,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1207,1.0,-1784.57,-285.53,0.0,0.0,-2070.1,-2070.1
1208,1.0,-1016.01,-162.56,0.0,0.0,-1178.57,-1178.57
1209,1.0,74.14,11.86,0.0,0.0,86.0,86.0
1210,1.0,632.48,101.2,0.0,0.0,733.6800000000001,733.68
1211,1.0,342.0,54.72,0.0,0.0,396.72,396.72
1212,1.0,426.72,68.28,0.0,0.0,495.0,495.0
1213,1.0,236.62,37.86,0.0,0.0,274.48,274.48
1214,1.0,2675.0,385.76,0.0,0.0,3060.76,2796.76
1215,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1216,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1217,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1218,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1219,1.0,4660.68,745.71,0.0,0.0,5406.39,5406.39
1220,1.0,-1009.09,-161.46,0.0,0.0,-1170.55,-1170.55
1221,1.0,1016.01,162.56,0.0,0.0,1178.57,1178.57
1222,1.0,4824.91,771.99,0.0,0.0,5307.41,5307.41
1223,1.0,1100.0,176.0,0.0,0.0,1276.0,1276.0
1224,1.0,900.0,144.0,0.0,0.0,1044.0,1044.0
1225,1.0,4000.0,640.0,0.0,0.0,4640.0,4640.0
1226,1.0,218.22,34.92,0.0,0.0,253.14,253.14
1227,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1228,1.0,180.0,28.8,0.0,0.0,202.8,202.8
1229,1.0,2923.95,433.17,0.0,0.0,3357.12,3357.12
1230,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1231,1.0,1448.83,231.82,0.0,0.0,1680.6499999999999,1680.65
1232,1.0,200.96,39.15,0.0,0.0,240.11,240.11
1233,1.0,336.9,62.09,0.0,0.0,398.99,398.99
1234,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1235,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1236,1.0,2354.5,376.72,0.0,0.0,2731.2200000000003,2731.22
1237,1.0,0.0,0.0,0.0,0.0,0.0,3763.8
1238,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1239,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1240,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1241,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1242,1.0,68.18,10.91,0.0,0.0,79.09,79.09
1243,1.0,600.0,96.0,0.0,0.0,696.0,696.0
1244,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1245,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1246,1.0,0.0,0.0,0.0,0.0,0.0,880.9
1247,1.0,0.0,0.0,0.0,0.0,0.0,4311.6
1248,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1249,1.0,149.74,23.96,0.0,0.0,173.70000000000002,173.7
1250,1.0,3100.0,496.0,0.0,0.0,3596.0,3596.0
1251,1.0,1600.0,256.0,0.0,0.0,1856.0,1856.0
1252,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1253,1.0,2025.05,324.01,0.0,0.0,2227.56,2227.56
1254,1.0,2596.73,415.48,0.0,0.0,2856.41,2856.41
1255,1.0,201.0,32.16,0.0,0.0,226.32,226.32
1256,1.0,820.0,131.2,0.0,0.0,951.2,951.2
1257,1.0,919.89,142.68,0.0,0.0,1062.57,1062.57
1258,1.0,3500.0,560.0,0.0,0.0,3336.55,3336.55
1259,1.0,1025.0,164.0,0.0,0.0,1189.0,1189.0
1260,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1261,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1262,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1263,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1264,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1265,1.0,6.89,1.1,0.0,0.0,7.99,7.99
1266,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1267,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1268,1.0,6438.72,1030.2,0.0,0.0,7468.92,7468.92
1269,1.0,1723.28,275.72,0.0,0.0,1999.0,1999.0
1270,1.0,1082.0,519.8248013864899,0.0,0.0,1239.1,1333.0
1271,1.0,210.0,0.0,0.0,0.0,210.0,210.0
1272,1.0,349.5,55.92,0.0,0.0,405.42,405.42
1273,1.0,11.51,1.84,0.0,0.0,13.35,13.35
1274,1.0,3364.28,538.28,0.0,0.0,3700.7000000000003,3700.7
1275,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1276,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1277,1.0,1912.13,305.94,0.0,0.0,2218.07,2218.07
1278,1.0,279.29,44.69,0.0,0.0,323.98,323.98
1279,1.0,18.97,3.03,0.0,0.0,22.0,22.0
1280,1.0,263.22,42.12,0.0,0.0,305.34000000000003,305.34
1281,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
1282,1.0,1100.0,176.0,0.0,0.0,1276.0,1276.0
1283,1.0,0.0,0.0,0.0,0.0,0.0,69.0
1284,1.0,81.08,12.98,0.0,0.0,94.06,94.06
1285,1.0,336.9,62.09,0.0,0.0,398.99,398.99
1286,1.0,936.0,149.76,0.0,0.0,1085.76,1085.76
1287,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1288,1.0,1767.52,299.23,0.0,0.0,2066.75,2066.75
1289,1.0,1932.69,356.32,0.0,0.0,2289.01,2289.01
1290,1.0,125.0,519.8248013864899,0.0,0.0,125.0,0.0
1291,1.0,44.73,7.16,0.0,0.0,51.89,51.89
1292,1.0,361.21,57.79,0.0,0.0,419.0,419.0
1293,1.0,114.02,18.24,0.0,0.0,132.26,132.26
1294,1.0,4261.32,613.63,0.0,0.0,4874.95,4448.82
1295,1.0,900.56,144.08,0.0,0.0,1044.6399999999999,1044.64
1296,1.0,2861.52,519.8248013864899,0.0,0.0,2861.52,2861.52
1297,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1298,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1299,1.0,217.2,519.8248013864899,0.0,0.0,217.2,217.2
1300,1.0,2961.0,473.76,0.0,0.0,3434.76,3434.76
1301,1.0,781.0,124.96,0.0,0.0,905.96,905.96
1302,1.0,176.72,28.28,0.0,0.0,205.0,205.0
1303,1.0,3300.0,48.0,0.0,0.0,3348.0,3348.0
1304,1.0,1364.67,218.33,0.0,0.0,1583.0,1583.0
1305,1.0,1264.0,519.8248013864899,0.0,0.0,1264.0,1264.0
1306,1.0,113.0,519.8248013864899,0.0,0.0,113.0,113.0
1307,1.0,113.0,519.8248013864899,0.0,0.0,113.0,113.0
1308,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1309,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1310,1.0,0.0,519.8248013864899,0.0,0.0,0.0,0.0
1311,1.0,129.85,20.15,0.0,0.0,150.0,150.0
1312,1.0,261.23,41.79,0.0,0.0,303.02000000000004,303.02
1313,1.0,529.82,84.78,0.0,0.0,614.6,614.6
1314,1.0,3364.28,538.28,0.0,0.0,3700.7000000000003,3700.7
1315,1.0,1082.0,222.2,0.0,0.0,1239.1,1333.0
